stock name,text_length,num_comments,score,general sentiment,open/close percent change
BY,0,38,1,0.0,2.1880819366852835
EARN,0,38,1,0.0,-0.5709624796084852
AAPL,0,38,1,0.0,-2.1565140062249863
ALL,1468,14,1,0.04699999999999999,0.8880697050938356
GT,0,3,1,0.0,0.9101251422070543
NEW,0,3,1,0.0,-2.240896358543407
GTBP,0,3,1,0.0,-2.2335025380710545
TMEN,0,3,1,0.0,0.0
LGHL,9,0,1,0.0,-7.246376811594202
COIN,9,0,1,0.0,-13.837270341207356
CHPT,0,1,3,0.0,-3.1862745098039222
STRO,0,16,2,0.0,-5.854800936768149
NG,0,16,2,0.0,-0.7383966244725768
GME,868,28360,17,-0.008,-6.682380671773704
GOOO,0,1,3,0.0,1.3745704467353868
SNDL,9,1,4,0.0,-0.49751243781093474
EWLL,630,0,4,0.16,6.249999999999989
ON,9519,20,3,0.106,1.1537555921827218
AMER,315,0,2,0.08,0.0
CORP,315,0,2,0.08,0.16982481229888965
TH,315,2,3,0.08,-4.141104294478521
ATI,315,0,2,0.08,0.09062075215224093
PROT,315,0,2,0.08,0.0
FAII,315,0,2,0.08,0.294695481335964
UNIT,617,4,2,-0.114,-0.5560704355884961
ED,617,4,2,-0.114,0.22666666666666893
NEVE,617,4,2,-0.114,0.0
FREE,617,4,2,-0.114,-1.9259259259259243
STON,617,4,2,-0.114,-1.0582010582010475
RS,617,4,2,-0.114,0.2404314770290497
EVER,617,4,2,-0.114,-0.8190008190008305
MAKE,617,4,2,-0.114,0.0
RIGH,617,4,2,-0.114,0.0
ALL,617,4,2,-0.114,-0.5013170192879628
OM,617,4,2,-0.114,2.3333333333333304
AMC,614,10,5,0.2,-1.8749999999999971
CEO,9741,30,3,0.226,0.0
SPY,3798,142,4,0.48799999999999993,0.759078331986587
AAPL,0,20,1,0.0,2.461479198767329
ES,2034,36,1,0.05500000000000001,-1.3394390383514454
FOR,2034,36,1,0.05500000000000001,1.1042944785276056
OUT,2034,36,1,0.05500000000000001,-0.36084799278304847
REAL,2034,36,1,0.05500000000000001,3.569873748367437
RAD,18408,40,2,0.05199999999999999,-3.689506468615235
ONS,9204,20,1,0.025999999999999995,-1.3513513513513624
USA,9204,20,1,0.025999999999999995,0.8917197452229336
AL,9204,20,1,0.025999999999999995,-0.7695423248278707
OR,9204,20,1,0.025999999999999995,1.8487394957983097
FUBO,458,51,1,0.14400000000000002,5.189530685920571
INTU,9,0,1,0.0,1.2608811619504834
NAKD,263,1,1,0.267,-11.527777777777775
NSPR,263,1,1,0.267,-0.3417412530512597
CTRM,263,1,1,0.267,-4.745826299005813
TNXP,0,1,1,0.0,2.6086956521739157
RETA,0,1,1,0.0,-6.690586745462223
MILE,78,0,1,-0.166,-4.843592330978813
WESC,9,0,1,0.0,0.0
ASRT,0,0,1,0.0,-1.2465598186822147
RRR,0,3,1,0.0,1.701268742791244
DD,0,0,1,0.0,0.3041121248181991
GE,9,0,1,0.0,0.7407407407407381
PLAY,0,2,1,0.0,-0.45177320984866237
SOS,1284,4,4,0.20800000000000002,-1.1299435028248515
SO,538,1,1,-0.027999999999999997,-0.3811338732729903
PT,538,1,1,-0.027999999999999997,-9.629629629629637
TD,9,0,1,0.0,0.6849315068493194
ING,9,0,1,0.0,-0.5622489959839237
PLTR,9,0,1,0.0,2.4722932651321323
MOVE,9,0,1,0.0,-4.6876923076923145
OMI,0,1,1,0.0,-2.2376132125732453
ECOM,0,1,1,0.0,-0.3929273084479288
OCC,0,0,1,0.0,-2.295918367346935
NIO,18,0,2,0.0,-0.6126971711641231
SOLU,9,0,1,0.0,0.0
RE,0,2,1,0.0,0.12576144625664046
DD,3222,14334,6,0.348,-0.2514890800794146
AG,2537,14331,3,0.258,2.152414194298996
AL,5773,14331,4,0.372,0.0
AM,2537,14331,3,0.258,0.2247191011235907
AMC,0,40,5,0.0,-2.197802197802204
SNDL,12217,4,5,0.094,1.4056224899598406
GME,3925,11,6,0.239,-8.403270927480097
MSFT,203,0,1,0.216,0.189895952842501
NIO,378,1,4,0.5700000000000001,2.870813397129201
TMBR,9,0,1,0.0,0.9478672985782
APHA,12132,2,3,0.094,-0.48929663608563817
LLNW,52,2,2,0.0,-2.168021680216804
AMWL,39,0,1,0.0,-0.7647058823529354
CD,9,0,1,0.0,0.06535947712418161
SOS,6481,2,7,0.22799999999999998,-0.7490636704119857
CURR,3236,0,1,0.11399999999999999,-11.012235817575082
ES,3236,3,2,0.11399999999999999,-0.8636363636363694
HUGE,3236,0,1,0.11399999999999999,0.0
ON,3236,3,2,0.11399999999999999,-0.5542725173210044
COMP,3236,0,1,0.11399999999999999,-2.5507246376811668
